Dataset,Primary_Model,Secondary_Model,Hybrid_Combination,Accuracy,Precision,Recall,F1_Score,AUC,Time_Seconds
D1,M2,M7,M2 + M7,0.996,0.0,0.0,0.0,0.4043086172344689,0.26297807693481445
D1,M3,M7,M3 + M7,0.998,0.0,0.0,0.0,0.6467935871743486,0.08007287979125977
D1,M4,M7,M4 + M7,0.999,1.0,0.5,0.6666666666666666,0.7439879759519038,0.11105108261108398
D1,M5,M7,M5 + M7,0.991,0.1111111111111111,0.5,0.18181818181818182,0.7069138276553106,0.40739989280700684
D1,M1,M8,M1 + M8,0.999,1.0,0.5,0.6666666666666666,0.7492484969939879,0.24167895317077637
D1,M2,M8,M2 + M8,0.985,0.0,0.0,0.0,0.5170340681362726,0.41443300247192383
D1,M3,M8,M3 + M8,0.998,0.0,0.0,0.0,0.6342685370741483,0.07969307899475098
D1,M4,M8,M4 + M8,0.999,1.0,0.5,0.6666666666666666,0.7442384769539078,0.1125950813293457
D1,M5,M8,M5 + M8,0.998,0.5,0.5,0.5,0.8587174348697395,0.5034980773925781
D1,M1,M9,M1 + M9,0.999,1.0,0.5,0.6666666666666666,0.7492484969939879,0.23486995697021484
D1,M2,M9,M2 + M9,0.994,0.0,0.0,0.0,0.2763026052104208,0.4319479465484619
D1,M3,M9,M3 + M9,0.998,0.0,0.0,0.0,0.6012024048096192,0.07688188552856445
D1,M4,M9,M4 + M9,0.999,1.0,0.5,0.6666666666666666,0.7429859719438877,0.1107180118560791
D1,M5,M9,M5 + M9,0.998,0.0,0.0,0.0,0.6447895791583166,0.5985767841339111
D1,M1,M10,M1 + M10,0.999,1.0,0.5,0.6666666666666666,0.7492484969939879,0.23505592346191406
D1,M2,M10,M2 + M10,0.997,0.0,0.0,0.0,0.30736472945891785,0.3033890724182129
D1,M3,M10,M3 + M10,0.998,0.0,0.0,0.0,0.689879759519038,0.07794618606567383
D1,M4,M10,M4 + M10,0.999,1.0,0.5,0.6666666666666666,0.7452404809619239,0.11134099960327148
D1,M5,M10,M5 + M10,0.992,0.0,0.0,0.0,0.4073146292585171,0.4157698154449463
D2,M1,M6,M1 + M6,0.997,1.0,0.8333333333333334,0.9090909090909091,0.9998868522290111,0.33548617362976074
D2,M2,M6,M2 + M6,0.996,1.0,0.7777777777777778,0.875,0.9993776872595611,0.4368128776550293
D2,M3,M6,M3 + M6,0.994,0.9285714285714286,0.7222222222222222,0.8125,0.9996605566870332,0.05806994438171387
D2,M4,M6,M4 + M6,0.995,1.0,0.7222222222222222,0.8387096774193549,0.9994342611450554,0.16507387161254883
D2,M5,M6,M5 + M6,0.982,0.0,0.0,0.0,0.8639398053858339,0.991239070892334
D2,M1,M7,M1 + M7,0.994,0.9285714285714286,0.7222222222222222,0.8125,0.999264539488572,0.3470473289489746
D2,M2,M7,M2 + M7,0.995,1.0,0.7222222222222222,0.8387096774193549,0.9992645394885721,0.6310017108917236
D2,M3,M7,M3 + M7,0.997,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.9998868522290111,0.06319689750671387
D2,M4,M7,M4 + M7,0.994,1.0,0.6666666666666666,0.8,0.9997737044580222,0.15027904510498047
D2,M5,M7,M5 + M7,0.98,0.25,0.05555555555555555,0.09090909090909091,0.8630346232179227,0.9667320251464844
D2,M1,M8,M1 + M8,0.997,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.9990382439465942,0.3344900608062744
D2,M2,M8,M2 + M8,0.992,0.9166666666666666,0.6111111111111112,0.7333333333333333,0.9988119484046164,0.5973279476165771
D2,M3,M8,M3 + M8,0.996,1.0,0.7777777777777778,0.875,0.9999434261145056,0.060428619384765625
D2,M4,M8,M4 + M8,0.991,1.0,0.5,0.6666666666666666,0.9998302783435166,0.15811896324157715
D2,M5,M8,M5 + M8,0.981,0.4,0.1111111111111111,0.17391304347826086,0.8727087576374746,0.88739013671875
D2,M1,M9,M1 + M9,0.994,1.0,0.6666666666666666,0.8,0.9996605566870332,0.333996057510376
D2,M2,M9,M2 + M9,0.995,1.0,0.7222222222222222,0.8387096774193549,0.999264539488572,0.5234837532043457
D2,M3,M9,M3 + M9,0.997,0.9411764705882353,0.8888888888888888,0.9142857142857143,0.9998868522290111,0.0660851001739502
D2,M4,M9,M4 + M9,0.993,1.0,0.6111111111111112,0.7586206896551724,0.9985290789771442,0.1540071964263916
D2,M5,M9,M5 + M9,0.981,0.0,0.0,0.0,0.8897374971713057,0.9532079696655273
D2,M1,M10,M1 + M10,0.997,1.0,0.8333333333333334,0.9090909090909091,0.9997737044580222,0.3450279235839844
D2,M2,M10,M2 + M10,0.994,0.9285714285714286,0.7222222222222222,0.8125,0.9993776872595611,0.4674203395843506
D2,M3,M10,M3 + M10,0.997,1.0,0.8333333333333334,0.9090909090909091,0.9997737044580222,0.06538915634155273
D2,M4,M10,M4 + M10,0.992,1.0,0.5555555555555556,0.7142857142857143,0.9994059742023083,0.15748023986816406
D2,M5,M10,M5 + M10,0.983,0.6666666666666666,0.1111111111111111,0.19047619047619047,0.9492532247114732,0.9811689853668213
D3,M1,M6,M1 + M6,0.97,0.9834368530020704,0.9557344064386318,0.9693877551020408,0.9956038417383025,2.214477062225342
D3,M2,M6,M2 + M6,0.984,0.9898167006109979,0.9778672032193159,0.9838056680161943,0.9994759811353209,0.5746958255767822
D3,M3,M6,M3 + M6,0.982,0.9897750511247444,0.9738430583501007,0.9817444219066938,0.999023964862735,0.19833111763000488
D3,M4,M6,M4 + M6,0.976,0.9958071278825996,0.9557344064386318,0.9753593429158111,0.9979859274933898,0.6747939586639404
D3,M5,M6,M5 + M6,0.942,0.9720430107526882,0.9094567404426559,0.9397089397089398,0.9828553827937805,1.0347058773040771
D3,M1,M7,M1 + M7,0.969,0.9854166666666667,0.9517102615694165,0.9682702149437052,0.9967118816277386,2.1905016899108887
D3,M2,M7,M2 + M7,0.983,0.9897959183673469,0.9758551307847082,0.9827760891590679,0.9994479801272846,0.6475608348846436
D3,M3,M7,M3 + M7,0.985,0.9918367346938776,0.9778672032193159,0.9848024316109423,0.9991959710549579,0.20897293090820312
D3,M4,M7,M4 + M7,0.981,0.995850622406639,0.96579476861167,0.9805924412665986,0.9975399114368116,0.6830461025238037
D3,M5,M7,M5 + M7,0.938,0.9578947368421052,0.9154929577464789,0.9362139917695473,0.9803152913504887,1.0591211318969727
D3,M1,M8,M1 + M8,0.971,0.9854771784232366,0.9557344064386318,0.9703779366700716,0.9963558688112771,2.1891491413116455
D3,M2,M8,M2 + M8,0.986,0.9918533604887984,0.9798792756539235,0.9858299595141701,0.9994759811353209,0.6621570587158203
D3,M3,M8,M3 + M8,0.98,0.9897330595482546,0.9698189134808853,0.9796747967479674,0.9988559588145174,0.1881270408630371
D3,M4,M8,M4 + M8,0.981,0.995850622406639,0.96579476861167,0.9805924412665986,0.9976799164769932,0.6911649703979492
D3,M5,M8,M5 + M8,0.939,0.9658119658119658,0.9094567404426559,0.9367875647668393,0.9805593001348049,1.041213035583496
D3,M1,M9,M1 + M9,0.972,0.9855072463768116,0.9577464788732394,0.9714285714285714,0.9961398610349972,2.2257378101348877
D3,M2,M9,M2 + M9,0.984,0.9918200408997955,0.9758551307847082,0.9837728194726166,0.9995599841594298,0.7627260684967041
D3,M3,M9,M3 + M9,0.987,0.9938775510204082,0.9798792756539235,0.9868287740628167,0.9985119464300715,0.20520496368408203
D3,M4,M9,M4 + M9,0.977,0.99581589958159,0.9577464788732394,0.9764102564102564,0.9969138889000003,0.6943380832672119
D3,M5,M9,M5 + M9,0.944,0.9681528662420382,0.9175050301810865,0.9421487603305785,0.9789512422447209,1.1564552783966064
D3,M1,M10,M1 + M10,0.971,0.9854771784232366,0.9557344064386318,0.9703779366700716,0.9964958738514588,2.261303186416626
D3,M2,M10,M2 + M10,0.983,0.9897959183673469,0.9758551307847082,0.9827760891590679,0.9994759811353209,0.7190847396850586
D3,M3,M10,M3 + M10,0.984,0.9938398357289527,0.9738430583501007,0.983739837398374,0.9988199575184706,0.2072429656982422
